,precision,recall,f1-score,support
Aircraft Carrier,0.9148936170212766,0.7288135593220338,0.8113207547169812,59.0
Bulkers,0.6206896551724138,0.7422680412371134,0.676056338028169,97.0
Car Carrier,0.956989247311828,0.9368421052631579,0.9468085106382979,95.0
Container Ship,0.9245283018867925,0.5697674418604651,0.7050359712230215,86.0
Cruise,0.9512195121951219,0.8666666666666667,0.9069767441860465,45.0
DDG,0.926829268292683,0.37254901960784315,0.5314685314685315,102.0
Recreational,0.30742049469964666,0.9775280898876404,0.46774193548387094,89.0
Sailboat,0.9,0.12162162162162163,0.21428571428571427,74.0
Submarine,0.8125,0.5909090909090909,0.6842105263157895,66.0
Tug,0.7959183673469388,0.5735294117647058,0.6666666666666666,68.0
accuracy,0.645326504481434,0.645326504481434,0.645326504481434,0.645326504481434
macro avg,0.81109884639267,0.6480495048140338,0.661057169301309,781.0
weighted avg,0.7985382443474542,0.645326504481434,0.6492015854499328,781.0
