,precision,recall,f1-score,support
Aircraft Carrier,0.8181818181818182,0.9152542372881356,0.864,59.0
Bulkers,0.6,0.9896907216494846,0.7470817120622568,97.0
Car Carrier,1.0,0.9789473684210527,0.9893617021276596,95.0
Container Ship,0.984375,0.7325581395348837,0.84,86.0
Cruise,1.0,0.9333333333333333,0.9655172413793104,45.0
DDG,0.9807692307692307,0.5,0.6623376623376623,102.0
Recreational,0.5119047619047619,0.9662921348314607,0.669260700389105,89.0
Sailboat,0.9583333333333334,0.3108108108108108,0.46938775510204084,74.0
Submarine,0.9838709677419355,0.9242424242424242,0.953125,66.0
Tug,0.88,0.6470588235294118,0.7457627118644068,68.0
accuracy,0.7848911651728553,0.7848911651728553,0.7848911651728553,0.7848911651728553
macro avg,0.8717435111931081,0.7898187993640997,0.7905834485262442,781.0
weighted avg,0.8609719758749643,0.7848911651728553,0.7792522609624049,781.0
